variable,sample_idx,pct_change,prediction
Y_-2,26,-0.08000000000000002,391.1355
Y_-2,27,-0.08000000000000002,390.9462
Y_-2,28,-0.08000000000000002,389.85742
Y_-2,29,-0.08000000000000002,390.68356
Y_-2,30,-0.08000000000000002,393.694
Y_-2,31,-0.08000000000000002,392.76364
Y_-2,32,-0.08000000000000002,391.22305
Y_-2,33,-0.08000000000000002,393.33746
Y_-2,34,-0.08000000000000002,395.45306
Y_-2,35,-0.08000000000000002,394.3453
Y_-2,36,-0.08000000000000002,396.4722
Y_-2,37,-0.08000000000000002,398.13156
Y_-2,38,-0.08000000000000002,396.95065
Y_-2,39,-0.08000000000000002,398.3209
Y_-2,40,-0.08000000000000002,397.85764
Y_-2,41,-0.08000000000000002,396.49203
Y_-2,42,-0.08000000000000002,394.709
Y_-2,43,-0.08000000000000002,394.32162
Y_-2,44,-0.08000000000000002,393.77545
Y_-2,45,-0.08000000000000002,395.4136
Y_-2,46,-0.08000000000000002,395.80423
Y_-2,47,-0.08000000000000002,395.12207
Y_-2,48,-0.08000000000000002,394.4647
Y_-2,49,-0.08000000000000002,393.4625
Y_-2,50,-0.08000000000000002,392.98096
Y_-2,51,-0.08000000000000002,393.68256
Y_-2,52,-0.08000000000000002,393.76602
Y_-2,53,-0.08000000000000002,394.55524
Y_-2,54,-0.08000000000000002,393.28467
Y_-2,55,-0.08000000000000002,393.89688
Y_-2,56,-0.08000000000000002,393.09714
Y_-2,57,-0.08000000000000002,393.0514
Y_-2,58,-0.08000000000000002,392.8876
Y_-2,59,-0.08000000000000002,394.06525
Y_-2,60,-0.08000000000000002,393.348
Y_-2,61,-0.08000000000000002,393.53452
Y_-2,62,-0.08000000000000002,394.0696
Y_-2,63,-0.08000000000000002,396.9351
Y_-2,64,-0.08000000000000002,397.20554
Y_-2,65,-0.08000000000000002,396.19083
Y_-2,66,-0.08000000000000002,395.6739
Y_-2,67,-0.08000000000000002,395.2704
Y_-2,68,-0.08000000000000002,394.71432
Y_-2,69,-0.08000000000000002,394.86667
Y_-2,70,-0.08000000000000002,394.65073
Y_-2,71,-0.08000000000000002,394.4905
Y_-2,72,-0.08000000000000002,393.38742
Y_-2,73,-0.08000000000000002,394.8879
Y_-2,74,-0.08000000000000002,394.66037
Y_-2,75,-0.08000000000000002,395.38052
Y_-2,76,-0.08000000000000002,396.09378
Y_-2,77,-0.08000000000000002,397.00302
Y_-2,78,-0.08000000000000002,397.19043
Y_-2,79,-0.08000000000000002,398.1789
Y_-2,80,-0.08000000000000002,400.33875
Y_-2,81,-0.08000000000000002,401.89102
Y_-2,82,-0.08000000000000002,401.5779
Y_-2,83,-0.08000000000000002,402.14215
Y_-2,84,-0.08000000000000002,399.7521
Y_-2,85,-0.08000000000000002,399.316
Y_-2,86,-0.08000000000000002,401.40146
Y_-2,87,-0.08000000000000002,401.73624
Y_-2,88,-0.08000000000000002,400.99417
Y_-2,89,-0.08000000000000002,400.3842
Y_-2,90,-0.08000000000000002,401.49966
Y_-2,91,-0.08000000000000002,400.49432
Y_-2,92,-0.08000000000000002,400.91418
Y_-2,93,-0.08000000000000002,401.66776
Y_-2,94,-0.08000000000000002,400.76337
Y_-2,95,-0.08000000000000002,403.36203
Y_-2,96,-0.08000000000000002,403.42197
Y_-2,97,-0.08000000000000002,403.97134
Y_-2,98,-0.08000000000000002,404.2579
Y_-2,99,-0.08000000000000002,405.48923
Y_-2,100,-0.08000000000000002,407.7393
Y_-2,101,-0.08000000000000002,408.356
Y_-2,102,-0.08000000000000002,407.53104
Y_-2,103,-0.08000000000000002,407.93692
Y_-2,104,-0.08000000000000002,407.97763
Y_-2,105,-0.08000000000000002,408.95676
Y_-2,106,-0.08000000000000002,404.8646
Y_-2,107,-0.08000000000000002,406.8251
Y_-2,108,-0.08000000000000002,409.5781
Y_-2,109,-0.08000000000000002,410.25522
Y_-2,110,-0.08000000000000002,407.64795
Y_-2,111,-0.08000000000000002,406.39822
Y_-2,112,-0.08000000000000002,406.9679
Y_-2,113,-0.08000000000000002,406.34955
Y_-2,114,-0.08000000000000002,407.9775
Y_-2,115,-0.08000000000000002,409.28558
Y_-2,116,-0.08000000000000002,410.27924
Y_-2,117,-0.08000000000000002,410.43134
Y_-2,118,-0.08000000000000002,408.94968
Y_-2,119,-0.08000000000000002,409.71738
Y_-2,120,-0.08000000000000002,411.17932
Y_-2,121,-0.08000000000000002,411.3942
Y_-2,122,-0.08000000000000002,411.13437
Y_-2,123,-0.08000000000000002,412.77774
Y_-2,124,-0.08000000000000002,412.7667
Y_-2,125,-0.08000000000000002,411.741
Y_-2,126,-0.08000000000000002,411.37326
Y_-2,127,-0.08000000000000002,412.01236
Y_-2,128,-0.08000000000000002,409.87003
Y_-2,129,-0.08000000000000002,409.28958
Y_-2,130,-0.08000000000000002,408.96002
Y_-2,131,-0.08000000000000002,408.41696
Y_-2,132,-0.08000000000000002,407.99185
Y_-2,133,-0.08000000000000002,408.28058
Y_-2,134,-0.08000000000000002,408.62213
Y_-2,135,-0.08000000000000002,411.52203
Y_-2,136,-0.08000000000000002,412.72614
Y_-2,137,-0.08000000000000002,412.10995
Y_-2,138,-0.08000000000000002,411.0332
Y_-2,139,-0.08000000000000002,409.30515
Y_-2,140,-0.08000000000000002,409.1124
Y_-2,141,-0.08000000000000002,409.43063
Y_-2,142,-0.08000000000000002,409.70035
Y_-2,143,-0.08000000000000002,410.195
Y_-2,144,-0.08000000000000002,409.62308
Y_-2,145,-0.08000000000000002,411.27435
Y_-2,146,-0.08000000000000002,412.61813
Y_-2,147,-0.08000000000000002,413.50833
Y_-2,148,-0.08000000000000002,412.8195
Y_-2,149,-0.08000000000000002,412.42468
Y_-2,150,-0.08000000000000002,412.03488
Y_-2,151,-0.08000000000000002,411.37662
Y_-2,152,-0.08000000000000002,411.08963
Y_-2,153,-0.08000000000000002,410.75552
Y_-2,154,-0.08000000000000002,409.95703
Y_-2,155,-0.08000000000000002,410.93103
Y_-2,156,-0.08000000000000002,411.16278
Y_-2,157,-0.08000000000000002,409.9729
Y_-2,158,-0.08000000000000002,410.11038
Y_-2,159,-0.08000000000000002,409.5295
Y_-2,160,-0.08000000000000002,408.7407
Y_-2,161,-0.08000000000000002,406.9805
Y_-2,162,-0.08000000000000002,407.29678
Y_-2,163,-0.08000000000000002,406.6431
Y_-2,164,-0.08000000000000002,407.2186
Y_-2,165,-0.08000000000000002,405.96426
Y_-2,166,-0.08000000000000002,407.2178
Y_-2,167,-0.08000000000000002,407.65384
Y_-2,168,-0.08000000000000002,406.40976
Y_-2,169,-0.08000000000000002,405.38773
Y_-2,170,-0.08000000000000002,404.26767
Y_-2,171,-0.08000000000000002,403.51007
Y_-2,172,-0.08000000000000002,403.25183
Y_-2,173,-0.08000000000000002,402.53433
Y_-2,174,-0.08000000000000002,401.5079
Y_-2,0,-0.07000000000000002,395.7227
Y_-2,1,-0.07000000000000002,397.74338
Y_-2,2,-0.07000000000000002,398.71066
Y_-2,3,-0.07000000000000002,396.44016
Y_-2,4,-0.07000000000000002,394.65485
Y_-2,5,-0.07000000000000002,396.712
Y_-2,6,-0.07000000000000002,397.38492
Y_-2,7,-0.07000000000000002,396.72537
Y_-2,8,-0.07000000000000002,395.60416
Y_-2,9,-0.07000000000000002,396.3127
Y_-2,10,-0.07000000000000002,397.4232
Y_-2,11,-0.07000000000000002,396.98322
Y_-2,12,-0.07000000000000002,395.44272
Y_-2,13,-0.07000000000000002,395.2812
Y_-2,14,-0.07000000000000002,395.29956
Y_-2,15,-0.07000000000000002,395.40686
Y_-2,16,-0.07000000000000002,393.60764
Y_-2,17,-0.07000000000000002,393.1509
Y_-2,18,-0.07000000000000002,395.00632
Y_-2,19,-0.07000000000000002,394.442
Y_-2,20,-0.07000000000000002,393.8381
Y_-2,21,-0.07000000000000002,394.0491
Y_-2,22,-0.07000000000000002,392.65152
Y_-2,23,-0.07000000000000002,391.74734
Y_-2,24,-0.07000000000000002,392.591
Y_-2,25,-0.07000000000000002,391.52716
Y_-2,26,-0.07000000000000002,391.23148
Y_-2,27,-0.07000000000000002,391.0424
Y_-2,28,-0.07000000000000002,389.95248
Y_-2,29,-0.07000000000000002,390.78122
Y_-2,30,-0.07000000000000002,393.79398
Y_-2,31,-0.07000000000000002,392.85834
Y_-2,32,-0.07000000000000002,391.3176
Y_-2,33,-0.07000000000000002,393.43442
Y_-2,34,-0.07000000000000002,395.55136
Y_-2,35,-0.07000000000000002,394.43967
Y_-2,36,-0.07000000000000002,396.57004
Y_-2,37,-0.07000000000000002,398.22772
Y_-2,38,-0.07000000000000002,397.0439
Y_-2,39,-0.07000000000000002,398.41693
Y_-2,40,-0.07000000000000002,397.9516
Y_-2,41,-0.07000000000000002,396.58563
Y_-2,42,-0.07000000000000002,394.80267
Y_-2,43,-0.07000000000000002,394.41693
Y_-2,44,-0.07000000000000002,393.87057
Y_-2,45,-0.07000000000000002,395.51114
Y_-2,46,-0.07000000000000002,395.89978
Y_-2,47,-0.07000000000000002,395.21634
Y_-2,48,-0.07000000000000002,394.55927
Y_-2,49,-0.07000000000000002,393.55698
Y_-2,50,-0.07000000000000002,393.07883
Y_-2,51,-0.07000000000000002,393.7791
Y_-2,52,-0.07000000000000002,393.8618
Y_-2,53,-0.07000000000000002,394.65176
Y_-2,54,-0.07000000000000002,393.37888
Y_-2,55,-0.07000000000000002,393.99344
Y_-2,56,-0.07000000000000002,393.19193
Y_-2,57,-0.07000000000000002,393.14728
Y_-2,58,-0.07000000000000002,392.98325
Y_-2,59,-0.07000000000000002,394.16232
Y_-2,60,-0.07000000000000002,393.44287
Y_-2,61,-0.07000000000000002,393.63028
Y_-2,62,-0.07000000000000002,394.16592
Y_-2,63,-0.07000000000000002,397.03326
Y_-2,64,-0.07000000000000002,397.30014
Y_-2,65,-0.07000000000000002,396.2844
Y_-2,66,-0.07000000000000002,395.76846
Y_-2,67,-0.07000000000000002,395.3652
Y_-2,68,-0.07000000000000002,394.8089
Y_-2,69,-0.07000000000000002,394.9622
Y_-2,70,-0.07000000000000002,394.7457
Y_-2,71,-0.07000000000000002,394.58566
Y_-2,72,-0.07000000000000002,393.4817
Y_-2,73,-0.07000000000000002,394.98505
