"","Date","eur_close","Fed","MNB","ECB","mean_matolcsy","mean_varga","mean_nagy","mean_kinfo","max_matolcsy","max_varga","max_nagy","max_kinfo"
"1448","2023-12-19","384.245","0.0533","0.1150","0.0450","0","0","0","0","0","0","0","0"
"1449","2023-12-20","384.094","0.0533","0.1075","0.0450","0","0","0","0","0","0","0","0"
"1450","2023-12-21","383.625","0.0533","0.1075","0.0450","0"," 0.001737037","0","0","0"," 0.001737037","0","0"
"1451","2023-12-22","381.938","0.0533","0.1075","0.0450","0","0"," 0.24383171","0","0","0"," 0.24383171","0"
"1452","2023-12-25","380.631","0.0533","0.1075","0.0450","0","0","0","0","0","0","0","0"
"1453","2023-12-26","380.174","0.0533","0.1075","0.0450","0","0","0","0","0","0","0","0"
"1454","2023-12-27","381.202","0.0533","0.1075","0.0450","0","0","0","0","0","0","0","0"
"1455","2023-12-28","382.007","0.0533","0.1075","0.0450","0","0","0","0","0","0","0","0"
"1456","2023-12-29","382.298","0.0533","0.1075","0.0450","0"," 0.137860373","0","0","0"," 0.137860373","0","0"
"1457","2024-01-01","382.111","0.0533","0.1075","0.0450","0","0","0","0","0","0","0","0"
"1458","2024-01-02","381.057","0.0533","0.1075","0.0450","0"," 0.107377894"," 0.18552190","0","0"," 0.107377894"," 0.18552190","0"
"1459","2024-01-03","381.263","0.0533","0.1075","0.0450","0","0","0","0","0","0","0","0"
"1460","2024-01-04","380.095","0.0533","0.1075","0.0450","0"," 0.128522066"," 0.11733253","0","0"," 0.128522066"," 0.11733253","0"
"1461","2024-01-05","378.486","0.0533","0.1075","0.0450","0","0","0","0","0","0","0","0"
"1462","2024-01-08","377.495","0.0533","0.1075","0.0450","0","0","0","0","0","0","0","0"
"1463","2024-01-09","377.229","0.0533","0.1075","0.0450","0","0","0","0","0","0","0","0"
"1464","2024-01-10","378.266","0.0533","0.1075","0.0450","0","0","0","0","0","0","0","0"
"1465","2024-01-11","377.933","0.0533","0.1075","0.0450","0","0","0","0","0","0","0","0"
"1466","2024-01-12","378.825","0.0533","0.1075","0.0450","0","0","0","0","0","0","0","0"
"1467","2024-01-15","378.961","0.0533","0.1075","0.0450","0","0","0","0","0","0","0","0"
"1468","2024-01-16","378.426","0.0533","0.1075","0.0450","0","0","0","0","0","0","0","0"
"1469","2024-01-17","379.152","0.0533","0.1075","0.0450","0","0","0","0","0","0","0","0"
"1470","2024-01-18","380.065","0.0533","0.1075","0.0450","0","0","0","0","0","0","0","0"
"1471","2024-01-19","382.156","0.0533","0.1075","0.0450","0","0","0","0","0","0","0","0"
"1472","2024-01-22","381.903","0.0533","0.1075","0.0450","0","0","0","0","0","0","0","0"
"1473","2024-01-23","383.322","0.0533","0.1075","0.0450","0","0","0","0","0","0","0","0"
"1474","2024-01-24","386.026","0.0533","0.1075","0.0450","0","0","0","0","0","0","0","0"
"1475","2024-01-25","386.813","0.0533","0.1075","0.0450","0","0","0","0","0","0","0","0"
"1476","2024-01-26","384.881","0.0533","0.1075","0.0450","0","0","0","0","0","0","0","0"
"1477","2024-01-29","387.936","0.0533","0.1075","0.0450","0","0","0","0","0","0","0","0"
"1478","2024-01-30","389.012","0.0533","0.1075","0.0450","0","0","0","0","0","0","0","0"
"1479","2024-01-31","386.051","0.0533","0.1000","0.0450","0","0","0","0","0","0","0","0"
"1480","2024-02-01","383.462","0.0533","0.1000","0.0450","0","0","0","0","0","0","0","0"
"1481","2024-02-02","382.596","0.0533","0.1000","0.0450","0"," 0.383913487","0","0","0"," 0.383913487","0","0"
"1482","2024-02-05","383.467","0.0533","0.1000","0.0450","0","0","0","0","0","0","0","0"
"1483","2024-02-06","386.196","0.0533","0.1000","0.0450","0","0","0","0","0","0","0","0"
"1484","2024-02-07","386.140","0.0533","0.1000","0.0450","0","0","0","0","0","0","0","0"
"1485","2024-02-08","388.005","0.0533","0.1000","0.0450","0","0","0","0","0","0","0","0"
"1486","2024-02-09","388.369","0.0533","0.1000","0.0450","0","0","0","0","0","0","0","0"
"1487","2024-02-12","387.032","0.0533","0.1000","0.0450","0","0","0","0","0","0","0","0"
"1488","2024-02-13","386.528","0.0533","0.1000","0.0450","0","0","0","0","0","0","0","0"
"1489","2024-02-14","386.814","0.0533","0.1000","0.0450","0","0","0","0","0","0","0","0"
"1490","2024-02-15","388.512","0.0533","0.1000","0.0450","0","0","0","0","0","0","0","0"
"1491","2024-02-16","388.811","0.0533","0.1000","0.0450","0","0","0","0","0","0","0","0"
"1492","2024-02-19","388.229","0.0533","0.1000","0.0450","0","0","-0.01881198","0","0","0","-0.01881198","0"
"1493","2024-02-20","387.964","0.0533","0.1000","0.0450","0","0","0","0","0","0","0","0"
"1494","2024-02-21","387.254","0.0533","0.1000","0.0450","0","0","0","0","0","0","0","0"
"1495","2024-02-22","386.954","0.0533","0.1000","0.0450","0","0","0","0","0","0","0","0"
"1496","2024-02-23","386.989","0.0533","0.1000","0.0450","0","0","0","0","0","0","0","0"
"1497","2024-02-26","388.533","0.0533","0.1000","0.0450","0","0","0","0","0","0","0","0"
"1498","2024-02-27","389.067","0.0533","0.1000","0.0450","0","0","0","0","0","0","0","0"
"1499","2024-02-28","390.589","0.0533","0.0900","0.0450","0","0","0","0","0","0","0","0"
"1500","2024-02-29","393.189","0.0533","0.0900","0.0450","0","0","0","0","0","0","0","0"
"1501","2024-03-01","392.365","0.0533","0.0900","0.0450","0","0","0","0","0","0","0","0"
"1502","2024-03-04","393.655","0.0533","0.0900","0.0450","0","0","0","0","0","0","0","0"
"1503","2024-03-05","394.669","0.0533","0.0900","0.0450","0","0","0","0","0","0","0","0"
"1504","2024-03-06","393.509","0.0533","0.0900","0.0450","0","0","0","0","0","0","0","0"
"1505","2024-03-07","393.636","0.0533","0.0900","0.0450","0","0","0","0","0","0","0","0"
"1506","2024-03-08","395.023","0.0533","0.0900","0.0450","0","0","0","0","0","0","0","0"
"1507","2024-03-11","393.403","0.0533","0.0900","0.0450","0","0","0","0","0","0","0","0"
"1508","2024-03-12","394.187","0.0533","0.0900","0.0450","0","0","0","0","0","0","0","0"
"1509","2024-03-13","398.722","0.0533","0.0900","0.0450","0","0","0","0","0","0","0","0"
"1510","2024-03-14","395.771","0.0533","0.0900","0.0450","0","0","0","0","0","0","0","0"
"1511","2024-03-15","395.053","0.0533","0.0900","0.0450","0","0","0","0","0","0","0","0"
"1512","2024-03-18","392.662","0.0533","0.0900","0.0450","0","0"," 0.16266106","0","0","0"," 0.16266106","0"
"1513","2024-03-19","394.635","0.0533","0.0900","0.0450","0","0","0","0","0","0","0","0"
"1514","2024-03-20","394.381","0.0533","0.0900","0.0450","0","0","0","0","0","0","0","0"
"1515","2024-03-21","393.638","0.0533","0.0900","0.0450","0","0","0","0","0","0","0","0"
"1516","2024-03-22","393.814","0.0533","0.0900","0.0450","0","0","0","0","0","0","0","0"
"1517","2024-03-25","396.959","0.0533","0.0900","0.0450","0","0"," 0.10485161","0","0","0"," 0.10485161","0"
"1518","2024-03-26","396.699","0.0533","0.0900","0.0450","0","0","0","0","0","0","0","0"
"1519","2024-03-27","395.039","0.0533","0.0825","0.0450","0","0","0","0","0","0","0","0"
"1520","2024-03-28","394.418","0.0533","0.0825","0.0450","0","0","0","0","0","0","0","0"
"1521","2024-03-29","393.552","0.0533","0.0825","0.0450","0","0","0","0","0","0","0","0"
"1522","2024-03-31","394.450","0.0533","0.0825","0.0450","0","0","0","0","0","0","0","0"
"1523","2024-04-01","394.607","0.0533","0.0825","0.0450","0","0","0","0","0","0","0","0"
"1524","2024-04-02","394.689","0.0533","0.0825","0.0450","0","0","0","0","0","0","0","0"
"1525","2024-04-03","392.384","0.0533","0.0825","0.0450","0","0","0","0","0","0","0","0"
"1526","2024-04-04","392.066","0.0533","0.0825","0.0450","0.09347359","0"," 0.09347359","0","0.09347359","0"," 0.09347359","0"
"1527","2024-04-07","389.496","0.0533","0.0825","0.0450","0","0","0","0","0","0","0","0"
"1528","2024-04-08","389.693","0.0533","0.0825","0.0450","0","0"," 0.06129686","0","0","0"," 0.06129686","0"
"1529","2024-04-09","390.148","0.0533","0.0825","0.0450","0.21577868","0"," 0.23341115","0","0.21577868","0"," 0.23341115","0"
"1530","2024-04-10","391.097","0.0533","0.0825","0.0450","0","0","0","0","0","0","0","0"
"1531","2024-04-11","389.558","0.0533","0.0825","0.0450","0"," 0.127415581"," 0.13205448"," 0.21315508","0"," 0.213155076"," 0.13205448"," 0.21315508"
"1532","2024-04-14","392.437","0.0533","0.0825","0.0450","0","0","0","0","0","0","0","0"
"1533","2024-04-15","393.996","0.0533","0.0825","0.0450","0","0","0","0","0","0","0","0"
"1534","2024-04-16","395.067","0.0533","0.0825","0.0450","0","0","0","0","0","0","0","0"
"1535","2024-04-17","392.839","0.0533","0.0825","0.0450","0","0","0","0","0","0","0","0"
"1536","2024-04-18","394.098","0.0533","0.0825","0.0450","0","0","0","0","0","0","0","0"
"1537","2024-04-21","393.947","0.0533","0.0825","0.0450","0","0","0","0","0","0","0","0"
"1538","2024-04-22","393.916","0.0533","0.0825","0.0450","0","0","0","0","0","0","0","0"
"1539","2024-04-23","392.867","0.0533","0.0825","0.0450","0","0"," 0.30012965","0","0","0"," 0.30012965","0"
"1540","2024-04-24","393.605","0.0533","0.0775","0.0450","0","0"," 0.15164359","0","0","0"," 0.15164359","0"
"1541","2024-04-25","392.837","0.0533","0.0775","0.0450","0","0","0","0","0","0","0","0"
"1542","2024-04-28","392.181","0.0533","0.0775","0.0450","0","0","0","0","0","0","0","0"
"1543","2024-04-29","391.169","0.0533","0.0775","0.0450","0","0","0","0","0","0","0","0"
"1544","2024-04-30","390.642","0.0533","0.0775","0.0450","0","0","0","0","0","0","0","0"
"1545","2024-05-01","390.125","0.0533","0.0775","0.0450","0","0","0","0","0","0","0","0"
"1546","2024-05-02","389.146","0.0533","0.0775","0.0450","0","0","0","0","0","0","0","0"
"1547","2024-05-05","389.151","0.0533","0.0775","0.0450","0","0","0","0","0","0","0","0"
"1548","2024-05-06","388.375","0.0533","0.0775","0.0450","0","0","0","0","0","0","0","0"
"1549","2024-05-07","389.007","0.0533","0.0775","0.0450","0","0","0","0","0","0","0","0"
"1550","2024-05-08","388.415","0.0533","0.0775","0.0450","0","0"," 0.24423176","0","0","0"," 0.33900723","0"
"1551","2024-05-09","387.750","0.0533","0.0775","0.0450","0","0","0","0","0","0","0","0"
"1552","2024-05-12","387.735","0.0533","0.0775","0.0450","0","0","0","0","0","0","0","0"
"1553","2024-05-13","386.616","0.0533","0.0775","0.0450","0","0","0","0","0","0","0","0"
"1554","2024-05-14","385.618","0.0533","0.0775","0.0450","0","0","0","0","0","0","0","0"
"1555","2024-05-15","385.523","0.0533","0.0775","0.0450","0","0","0","0","0","0","0","0"
"1556","2024-05-16","386.706","0.0533","0.0775","0.0450","0","0","0","0","0","0","0","0"
"1557","2024-05-19","386.739","0.0533","0.0775","0.0450","0","0","0","0","0","0","0","0"
"1558","2024-05-20","385.744","0.0533","0.0775","0.0450","0","0","0","0","0","0","0","0"
"1559","2024-05-21","385.305","0.0533","0.0775","0.0450","0","0","0","0","0","0","0","0"
"1560","2024-05-22","386.889","0.0533","0.0725","0.0450","0","0","0","0","0","0","0","0"
"1561","2024-05-23","386.075","0.0533","0.0725","0.0450","0","0","0","0","0","0","0","0"
"1562","2024-05-26","384.389","0.0533","0.0725","0.0450","0","0","0","0","0","0","0","0"
"1563","2024-05-27","384.361","0.0533","0.0725","0.0450","0","0","0","0","0","0","0","0"
"1564","2024-05-28","384.207","0.0533","0.0725","0.0450","0","0","0","0","0","0","0","0"
"1565","2024-05-29","387.582","0.0533","0.0725","0.0450","0","0","0","0","0","0","0","0"
"1566","2024-05-30","389.203","0.0533","0.0725","0.0450","0","0","0","0","0","0","0","0"
"1567","2024-06-02","389.480","0.0533","0.0725","0.0450","0","0","0","0","0","0","0","0"
"1568","2024-06-03","390.207","0.0533","0.0725","0.0450","0","0","0","0","0","0","0","0"
"1569","2024-06-04","392.991","0.0533","0.0725","0.0450","0","0","0","0","0","0","0","0"
"1570","2024-06-05","390.354","0.0533","0.0725","0.0450","0","0","0","0","0","0","0","0"
"1571","2024-06-06","389.545","0.0533","0.0725","0.0450","0","0","0","0","0","0","0","0"
"1572","2024-06-09","390.089","0.0533","0.0725","0.0450","0","0","0","0","0","0","0","0"
"1573","2024-06-10","392.797","0.0533","0.0725","0.0450","0","0","0","0","0","0","0","0"
"1574","2024-06-11","394.997","0.0533","0.0725","0.0450","0","0","0","0","0","0","0","0"
"1575","2024-06-12","394.766","0.0533","0.0725","0.0425","0","0","0","0","0","0","0","0"
"1576","2024-06-13","396.718","0.0533","0.0725","0.0425","0","0","0","0","0","0","0","0"
"1577","2024-06-16","397.843","0.0533","0.0725","0.0425","0","0","0","0","0","0","0","0"
"1578","2024-06-17","395.510","0.0533","0.0725","0.0425","0","0","0","0","0","0","0","0"
"1579","2024-06-18","393.804","0.0533","0.0725","0.0425","0","0","0","0","0","0","0","0"
"1580","2024-06-19","395.929","0.0533","0.0700","0.0425","0","0","0","0","0","0","0","0"
"1581","2024-06-20","396.577","0.0533","0.0700","0.0425","0","0"," 0.10427428","0","0","0"," 0.10427428","0"
"1582","2024-06-23","396.044","0.0533","0.0700","0.0425","0","0","0","0","0","0","0","0"
"1583","2024-06-24","394.857","0.0533","0.0700","0.0425","0","0","0","0","0","0","0","0"
"1584","2024-06-25","395.565","0.0533","0.0700","0.0425","0","0","0","0","0","0","0","0"
"1585","2024-06-26","396.710","0.0533","0.0700","0.0425","0","0","0","0","0","0","0","0"
"1586","2024-06-27","396.209","0.0533","0.0700","0.0425","0","0","0","0","0","0","0","0"
"1587","2024-06-30","394.616","0.0533","0.0700","0.0425","0","0","0","0","0","0","0","0"
"1588","2024-07-01","394.512","0.0533","0.0700","0.0425","0","0","0","0","0","0","0","0"
"1589","2024-07-02","394.591","0.0533","0.0700","0.0425","0","0","0","0","0","0","0","0"
"1590","2024-07-03","394.780","0.0533","0.0700","0.0425","0","0","0","0","0","0","0","0"
"1591","2024-07-04","392.896","0.0533","0.0700","0.0425","0","0","0","0","0","0","0","0"
"1592","2024-07-07","392.525","0.0533","0.0700","0.0425","0","0","0","0","0","0","0","0"
"1593","2024-07-08","394.532","0.0533","0.0700","0.0425","0","0"," 0.01523706","0","0","0"," 0.01523706","0"
"1594","2024-07-09","393.891","0.0533","0.0700","0.0425","0","0","0","0","0","0","0","0"
"1595","2024-07-10","393.268","0.0533","0.0700","0.0425","0","0","0","0","0","0","0","0"
"1596","2024-07-11","393.533","0.0533","0.0700","0.0425","0","0","0","0","0","0","0","0"
"1597","2024-07-14","392.093","0.0533","0.0700","0.0425","0","0","0","0","0","0","0","0"
"1598","2024-07-15","391.064","0.0533","0.0700","0.0425","0","0","0","0","0","0","0","0"
"1599","2024-07-16","391.942","0.0533","0.0700","0.0425","0","0","0","0","0","0","0","0"
"1600","2024-07-17","390.801","0.0533","0.0700","0.0425","0","0","0","0","0","0","0","0"
"1601","2024-07-18","390.524","0.0533","0.0700","0.0425","0","0","0","0","0","0","0","0"
"1602","2024-07-21","390.383","0.0533","0.0700","0.0425","0","0","0","0","0","0","0","0"
"1603","2024-07-22","389.248","0.0533","0.0700","0.0425","0","0","0","0","0","0","0","0"
"1604","2024-07-23","390.071","0.0533","0.0700","0.0425","0","0","0","0","0","0","0","0"
"1605","2024-07-24","393.225","0.0533","0.0675","0.0425","0","0","0","0","0","0","0","0"
"1606","2024-07-25","392.239","0.0533","0.0675","0.0425","0","0","0","0","0","0","0","0"
"1607","2024-07-28","390.555","0.0533","0.0675","0.0425","0","0","0","0","0","0","0","0"
"1608","2024-07-29","392.707","0.0533","0.0675","0.0425","0","0","0","0","0","0","0","0"
"1609","2024-07-30","394.939","0.0533","0.0675","0.0425","0"," 0.117006384"," 0.38967602","0","0"," 0.117006384"," 0.38967602","0"
"1610","2024-07-31","393.693","0.0533","0.0675","0.0425","0","0","0","0","0","0","0","0"
"1611","2024-08-01","395.969","0.0533","0.0675","0.0425","0","0","0","0","0","0","0","0"
"1612","2024-08-04","397.591","0.0533","0.0675","0.0425","0","0","0","0","0","0","0","0"
"1613","2024-08-05","396.284","0.0533","0.0675","0.0425","0","0","0","0","0","0","0","0"
"1614","2024-08-06","397.670","0.0533","0.0675","0.0425","0","0","0","0","0","0","0","0"
"1615","2024-08-07","397.166","0.0533","0.0675","0.0425","0","0","0","0","0","0","0","0"
"1616","2024-08-08","395.778","0.0533","0.0675","0.0425","0","0","0","0","0","0","0","0"
"1617","2024-08-11","394.030","0.0533","0.0675","0.0425","0","0","0","0","0","0","0","0"
"1618","2024-08-12","393.761","0.0533","0.0675","0.0425","0","0","0","0","0","0","0","0"
"1619","2024-08-13","393.168","0.0533","0.0675","0.0425","0","0","0","0","0","0","0","0"
